questionId,category,question,actualAnswer,intentPass,factualAccuracyPass,contextMemoryPass,productRecommendationPass,linkPass,tonePass,safetyPass,privacyPass,copyrightPass,responseTimeMs,finalStatus,failureReason
"Q036","B_recommendation","서서 작업할 수 있는 높은 테이블 있나요?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2187","fail","service_unavailable"
"Q037","B_recommendation","집에 홈바를 만들고 싶은데 어떤 제품이 맞을까요?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","4656","fail","service_unavailable"
"Q038","B_recommendation","거실과 주방 공간을 나눌 테이블 추천해주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2624","fail","service_unavailable"
"Q039","B_recommendation","상판은 있고 프레임만 필요한데 어떤 제품을 봐야 하나요?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2242","fail","service_unavailable"
"Q040","B_recommendation","책상을 사려는데 어떤 걸 골라야 할지 전혀 모르겠어요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1717","fail","service_unavailable"
"Q061","C_single_desk","색상 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2761","fail","service_unavailable"
"Q063","C_single_desk","조립 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3507","fail","service_unavailable"
"Q064","C_single_desk","보증 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","4496","fail","service_unavailable"
"Q065","C_single_desk","구매 링크 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1740","fail","service_unavailable"
"Q066","D_double_desk","두 사람이 나란히 사용 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1701","fail","service_unavailable"
"Q067","D_double_desk","부부 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2399","fail","service_unavailable"
"Q068","D_double_desk","커플 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2732","fail","service_unavailable"
"Q069","D_double_desk","형제 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3103","fail","service_unavailable"
"Q070","D_double_desk","학생 두 명 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2482","fail","service_unavailable"
"Q071","D_double_desk","사무실 두 명 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1963","fail","service_unavailable"
"Q072","D_double_desk","1600mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3548","fail","service_unavailable"
"Q073","D_double_desk","1800mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3167","fail","service_unavailable"
"Q074","D_double_desk","2000mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3669","fail","service_unavailable"
"Q075","D_double_desk","2200mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2213","fail","service_unavailable"
"Q076","D_double_desk","2400mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3524","fail","service_unavailable"
"Q077","D_double_desk","2600mm?","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3255","fail","service_unavailable"
"Q078","D_double_desk","한 사람당 필요한 공간 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2752","fail","service_unavailable"
"Q079","D_double_desk","모니터 각 한 대 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2420","fail","service_unavailable"
"Q080","D_double_desk","모니터 각 두 대 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2897","fail","service_unavailable"
"Q081","D_double_desk","본체 두 대 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1753","fail","service_unavailable"
"Q082","D_double_desk","상판 연결 부분 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","2383","fail","service_unavailable"
"Q083","D_double_desk","중앙 보강 구조 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3630","fail","service_unavailable"
"Q084","D_double_desk","전선홀 위치 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","3103","fail","service_unavailable"
"Q085","D_double_desk","멀티탭 정리 궁금한데 알려주세요","현재 베타 서비스 개선을 위해 업데이트 중입니다. 잠시 후 다시 이용해 주세요.","false","false","true","true","true","true","true","true","true","1768","fail","service_unavailable"
