questionId,category,question,actualAnswer,intentPass,factualAccuracyPass,contextMemoryPass,productRecommendationPass,linkPass,tonePass,safetyPass,privacyPass,copyrightPass,responseTimeMs,finalStatus,failureReason
"Q001","A_brand","인디업은 어떤 브랜드인가요?","인디업은 원하는 사이즈로 맞춤 제작하는 책상 브랜드입니다. 아연도금 철제 프레임에 풀용접·분체도장 마감, 18mm E0 등급 상판을 사용하며 3년 무상보증을 제공합니다. 1인용·2인용 책상, 좌식 책상, 사이드테이블, 홈바테이블, 프레임 단품 등을 만듭니다.","true","true","true","true","true","true","true","true","true","10525","pass",""
"Q002","A_brand","인디업은 제조사인가요, 판매사인가요?","인디업은 책상을 직접 맞춤 제작하는 제조 브랜드입니다. 프레임은 아연도금 철제에 풀용접·분체도장으로 마감하고 상판은 18mm E0 등급 자재로 제작하며, 실제 주문과 결제는 네이버 브랜드스토어에서 이루어집니다.","true","true","true","true","true","true","true","true","true","6500","pass",""
"Q003","A_brand","인디업 책상은 국내에서 제작되나요?","제작지에 대한 정확한 내용은 네이버 톡톡 상담으로 확인해 드리는 것이 정확합니다. 다만 인디업 책상은 프레임을 아연도금 철제에 풀용접·분체도장 후 고온 경화로 마감하고 상판은 18mm E0 등급으로 구성해 주문 후 통상 7~8영업일 이내에 맞춤 제작됩니다. (전화 상담은 평일 오전 9시 ~ 오후 5시에 가능하며, 네이버 톡톡은 시간 제약 없이 문의를 남길 수 있습니다.)","true","true","true","true","true","true","true","true","true","8680","pass",""
"Q004","A_brand","인디업을 운영하는 회사는 어디인가요?","인디업 대표 연락처는 1668-5738이며, 자세한 회사 안내는 고객지원 페이지에서 확인하실 수 있습니다. 그 외 상세 정보는 네이버 톡톡 상담으로 도와드리겠습니다.","true","true","true","true","true","true","true","true","true","5413","pass",""
"Q005","A_brand","지금 보고 있는 이 사이트가 인디업 공식 홈페이지가 맞나요?","네, 인디업 공식 홈페이지가 맞습니다. 제품 안내와 사이즈 확인을 도와드리고, 실제 주문과 결제는 네이버 공식 스토어에서 진행됩니다.","true","true","true","true","true","true","true","true","true","10584","pass",""
"Q006","A_brand","인디업 제품 공식 판매처가 어디인가요?","인디업 제품의 실제 주문과 결제, 배송은 네이버 브랜드스토어에서 이루어집니다. 아래 링크로 공식 스토어 전체 상품을 확인하실 수 있습니다.","true","true","true","true","true","true","true","true","true","6822","pass",""
"Q007","A_brand","인디업이 책상을 직접 만드나요?","네, 인디업은 프레임과 상판을 주문에 맞춰 직접 맞춤 제작합니다. 프레임은 아연도금 철제에 풀용접·분체도장 마감이고, 상판은 18mm E0 등급 자재를 사용하며 3년 무상보증이 적용됩니다.","true","true","true","true","true","true","true","true","true","8295","pass",""
"Q008","A_brand","인디업 책상은 주문 제작 방식인가요?","네, 인디업 책상은 주문 제작 방식입니다. 가로와 높이를 제품별 범위 안에서 10mm 단위로 맞춤 제작하며, 통상 7~8영업일(주말·공휴일 제외)이 소요됩니다.","true","true","true","true","true","true","true","true","true","6598","pass",""
"Q009","A_brand","제작과 품질 검수는 누가 하나요?","인디업 책상은 자체 제작 방식으로 만들어지며, 프레임은 아연도금 철제를 풀용접으로 마감한 뒤 분체도장과 고온 경화를 거칩니다. 상판은 18mm E0 등급 LPM을 사용하고 회전형 수평조절발이 기본 적용됩니다. 제작 공정이나 품질 관리에 대해 더 자세한 확인이 필요하시면 상담으로 안내해 드리겠습니다.","true","true","true","true","true","true","true","true","true","7581","pass",""
"Q010","A_brand","다른 쇼핑몰에서 파는 인디업 책상도 공식인가요?","인디업 책상의 실제 주문·결제·배송은 네이버 공식 브랜드스토어에서만 이루어집니다. 다른 판매처가 공식 채널인지는 이곳에서 확인해 드리기 어려우니, 정품 여부가 걱정되신다면 네이버 공식 스토어를 이용하시는 것이 가장 안전합니다.","true","true","true","true","true","true","true","true","true","6415","pass",""
